Run,Lap,Lap time,Started at,Driver,Clean,Pit in,Pit out,Track temp,Track usage,Air temperature,Cloud cover,Air density,Air pressure,Wind velocity,Wind direction,Relative humidity,Fog level,Precipitation,Track Wetness,Fuel level,Fuel used,Fuel added,Sector 1,Sector 2,Sector 3,Sector 4,Sector 5,Sector 6,Sector 7,Sector 8,Sector 9,Sector 10,Sector 11,Sector 12
6,15,1197.607624921,2026-04-04T19:42:42Z,Nate Forry,0,1,1,23.333343505859375,57,18.468992,4,1.103148,93025.695,5.707719,3.105792,0.8519049,0,0,0,41.992188,13.267794,57.247013,711.128984683,32.701151323,60.753773009,43.474685534,37.70816025,58.349800262,34.97032412,43.048945026,43.652783399,42.725344624,60.713190352,28.389524068
7,16,920.794027881,2026-04-04T20:02:40Z,Nate Forry,0,0,1,24.4444580078125,57,18.475159,3,1.1035912,93057.68,5.8832526,3.344523,0.842782,0,0,0,85.971405,13.0545435,13.035538,457.502053898,32.995131409,60.875489897,43.778309139,35.057483791,50.153078821,35.073658362,40.37003566,42.388996584,40.799042759,57.933315658,23.873404008
8,17,495.4119873046875,2026-04-04T20:18:01Z,Nate Forry,1,0,0,24.4444580078125,57,18.48015,3,1.1042162,93101.21,5.7650824,3.4238367,0.82960933,0,0,0,85.9524,12.711702,0,36.658856166,31.508682142,59.542097169,43.385113974,34.385743841,49.603624474,34.622564782,40.123994366,43.014179632,40.629375288,58.478858101,23.446910057
8,18,494.4161071777344,2026-04-04T20:26:16Z,Nate Forry,0,0,1,23.333343505859375,57,18.482273,3,1.1050135,93162.47,6.068382,3.5414605,0.8218332,0,0,0,73.2407,12.692741,0,37.54716122,31.331910173,59.11119995,43.234357462,34.194763674,49.70388972,34.960007191,39.793080462,42.677313853,40.453064635,57.860671385,23.549246934
8,19,493.7152099609375,2026-04-04T20:34:31Z,Nate Forry,0,0,0,22.22222900390625,57,18.477854,3,1.1050488,93173.49,6.024545,3.4400737,0.8338568,0,0,0,60.54796,12.708266,0,37.437324972,31.363593106,59.063587226,43.002853127,34.186260052,49.768443445,34.674174171,39.646672898,41.81855013,42.058300107,57.505771254,23.191136171
8,20,487.9512023925781,2026-04-04T20:42:45Z,Nate Forry,0,0,0,24.4444580078125,57,18.472736,3,1.1049477,93174.8,6.1993523,3.3945913,0.84830266,0,0,0,47.83969,12.796237,0,36.834317719,31.134495399,58.710488543,42.88029474,33.571202279,48.54304393,34.224363005,39.342190952,41.914812586,40.35441329,57.314195764,23.126181786
8,21,489.341796875,2026-04-04T20:50:52Z,Nate Forry,0,0,0,25,57,18.475739,3,1.1045041,93136.414,5.7741985,3.4162865,0.8454027,0,0,0,35.043453,12.884426,0,36.706606869,31.394636669,59.056404106,42.981948757,33.829525936,48.581888879,34.488568328,39.788523783,41.4075507,40.982291213,57.106919682,23.02513507
8,22,522.308641154,2026-04-04T20:59:02Z,Nate Forry,0,1,0,25,57,18.476994,4,1.1040466,93101.625,6.1015806,3.4518075,0.8492095,0,0,0,22.159027,12.229466,0,36.608640441,31.034078023,58.460410597,43.168886351,39.972746541,49.154164511,34.586714071,39.531498463,45.243350681,46.643050137,63.784112161,34.112348015
9,23,772.2015991210938,2026-04-04T21:07:44Z,Nate Forry,0,0,1,25,57,18.470768,4,1.1035043,93080.5,5.7967916,3.5121465,0.8822131,0,0,0,9.929561,12.731644,70,313.730500841,32.560961302,60.220131167,43.681558762,34.497657055,49.286192652,34.565610719,39.905271045,42.03307856,39.84281681,58.034430416,23.841790659
9,24,365.535037673,2026-04-04T21:20:36Z,Nate Forry,0,0,0,25,57,18.468702,4,1.1037718,93122.13,5.8854322,3.6931925,0.9071006,0,0,0,67.197914,8.751473,0,36.871955375,31.480955094,58.775445239,43.723643026,34.21839656,49.04813342,34.105422014,39.458471142,,,,37.850911458
10,25,1057.790429788,2026-04-04T21:26:42Z,Nate Forry,0,0,1,0,57,0,0,0,0,0,0,0,0,0,-1,58.496094,12.961797,0,599.226727374,32.57245366,60.773688435,43.700701454,34.425697699,48.904406111,34.626413174,40.49495432,42.011171794,39.548391445,57.66259239,23.852802128
10,26,487.489013671875,2026-04-04T21:44:20Z,Nate Forry,1,0,0,25.555572509765625,57,18.478794,4,1.1058216,93266.75,5.1933537,3.7886748,0.8689856,0,0,0,45.534298,12.6611185,0,36.979109162,31.357535889,58.11953171,43.350774292,34.009782822,49.050719005,34.256748339,39.803143344,41.240936814,38.997562031,57.099877318,23.217612601
10,27,488.7633972167969,2026-04-04T21:52:27Z,Nate Forry,0,0,0,25,57,18.471983,4,1.1050276,93210.72,5.381134,3.8673754,0.8850245,0,0,0,32.87318,12.689875,0,36.481797487,31.102326891,58.282723547,42.922755768,33.766084305,48.553226899,34.029707982,39.394948791,41.15189087,39.155731687,60.338296907,23.570508859
10,28,18.757157509,2026-04-04T22:00:36Z,Nate Forry,0,0,0,24.4444580078125,57,18.469778,4,1.1045587,93178.61,5.469504,3.8726697,0.8949129,0,0,0,20.183304,0.0028591156,0,,,,,,,,,,,,18.749999999
